t,ps0,ps7,ps2,ps5,front_raw,front_filtered,dist_kalman,kalman_gain,kalman_P,le_enc,re_enc,ds_m,lv,rv,action
0.064,64.8,75.0,67.9,67.1,69.89,69.89,69.89,0.0698,1.3953,0.0,0.0,0.0,4.0,4.0,FORWARD
0.128,70.2,66.7,69.0,332.2,68.46,69.18,72.18,0.0866,1.7313,0.2575,0.2575,0.005278,4.0,4.0,FORWARD
0.192,63.4,83.5,66.2,357.2,73.44,70.6,74.62,0.1004,2.0073,0.5087,0.5087,0.00515,4.0,4.0,FORWARD
0.256,68.9,100.3,63.7,383.3,84.59,74.1,78.08,0.1114,2.228,0.7662,0.7662,0.005278,4.0,4.0,FORWARD
0.32,66.1,109.7,66.5,484.2,87.9,76.86,81.52,0.12,2.4006,1.0174,1.0174,0.00515,4.0,4.0,FORWARD
0.384,66.1,113.3,65.3,562.0,89.67,80.81,84.86,0.1267,2.5332,1.2748,1.2748,0.005278,4.0,4.0,FORWARD
0.448,74.5,124.5,65.3,896.9,99.48,87.02,89.02,0.1317,2.6338,1.526,1.526,0.00515,4.0,4.0,FORWARD
0.512,67.0,127.9,68.4,1220.9,97.44,91.82,92.44,0.1355,2.7092,1.7835,1.7835,0.005278,4.5,-4.5,TURN_RIGHT (Side)
0.576,70.8,71.9,64.9,1572.3,71.33,89.17,89.52,0.1383,2.7655,2.0661,1.5009,0.0,4.0,4.0,FORWARD
0.64,67.9,67.2,68.0,1653.6,67.54,85.09,88.65,0.1404,2.8072,2.3173,1.7521,0.00515,4.0,4.0,FORWARD
0.704,66.9,65.7,69.4,1668.5,66.29,80.42,87.74,0.1419,2.8379,2.5748,2.0096,0.005278,4.0,4.0,FORWARD
0.768,66.0,67.7,72.6,1652.0,66.82,73.88,86.98,0.143,2.8605,2.8323,2.2608,0.005214,4.0,4.0,FORWARD
0.832,63.1,64.2,72.6,1639.4,63.64,67.12,85.86,0.1439,2.8771,3.0835,2.5183,0.005214,4.0,4.0,FORWARD
0.896,64.6,68.2,70.0,1656.7,66.36,66.13,85.27,0.1445,2.8892,3.341,2.7695,0.005214,4.0,4.0,FORWARD
0.96,70.3,61.5,70.7,1651.4,65.89,65.8,84.69,0.1449,2.8981,3.5922,3.027,0.005214,4.0,4.0,FORWARD
1.024,69.7,67.4,65.7,1636.2,68.56,66.26,84.61,0.1452,2.9046,3.8496,3.2844,0.005278,4.0,4.0,FORWARD
1.088,69.1,68.9,65.1,1657.7,69.0,66.69,84.54,0.1455,2.9093,4.1008,3.5356,0.00515,4.0,4.0,FORWARD
1.152,71.2,66.0,72.2,1643.8,68.59,67.68,84.47,0.1456,2.9128,4.3583,3.7931,0.005278,4.0,4.0,FORWARD
1.216,62.4,71.5,63.7,1739.2,66.99,67.81,84.12,0.1458,2.9153,4.6095,4.0443,0.00515,4.0,4.0,FORWARD
1.28,67.9,69.7,68.0,1735.0,68.79,68.39,84.14,0.1459,2.9172,4.867,4.3018,0.005278,4.0,4.0,FORWARD
1.344,61.3,66.1,69.9,1725.3,63.68,67.41,83.35,0.1459,2.9185,5.1182,4.553,0.00515,4.0,4.0,FORWARD
1.408,65.2,66.9,67.3,1711.4,66.06,66.82,83.08,0.146,2.9195,5.3757,4.8105,0.005278,4.0,4.0,FORWARD
1.472,66.6,71.0,66.1,1735.9,68.8,66.86,83.22,0.146,2.9202,5.6332,5.0617,0.005214,4.0,4.0,FORWARD
1.536,65.7,63.7,64.2,1727.6,64.68,66.4,82.74,0.146,2.9207,5.8844,5.3192,0.005214,4.0,4.0,FORWARD
1.6,65.9,65.4,69.5,1723.5,65.64,65.77,82.47,0.1461,2.9211,6.1418,5.5704,0.005214,4.0,4.0,FORWARD
1.664,60.6,63.0,63.0,1716.8,61.82,65.4,81.68,0.1461,2.9214,6.393,5.8278,0.005214,4.0,4.0,FORWARD
1.728,69.1,70.3,71.5,1709.8,69.72,66.13,82.16,0.1461,2.9216,6.6505,6.079,0.005214,4.0,4.0,FORWARD
1.792,64.3,69.7,68.9,1723.7,67.0,65.77,82.17,0.1461,2.9217,6.9017,6.3365,0.005214,4.0,4.0,FORWARD
1.856,66.4,70.6,64.3,1702.2,68.5,66.54,82.43,0.1461,2.9219,7.1592,6.594,0.005278,4.0,4.0,FORWARD
